id,nome,data_fondazione,quotazioni,sede
4375,"Phillips, Rollins and Bryant",1968-12-11,"[{'azionista': 1222, 'quota': 70}, {'azionista': 1728, 'quota': 30}]",8
4376,Davis-Mcintosh,1995-10-21,"[{'azionista': 290, 'quota': 81}, {'azionista': 834, 'quota': 19}]",85
4377,Lamb-Parsons,1961-06-26,"[{'azionista': 1363, 'quota': 81}, {'azionista': 361, 'quota': 12}, {'azionista': 1962, 'quota': 7}]",32
4378,"Le, Church and Chang",1988-10-11,"[{'azionista': 927, 'quota': 18}, {'azionista': 1525, 'quota': 9}, {'azionista': 1469, 'quota': 6}, {'azionista': 1214, 'quota': 45}, {'azionista': 1566, 'quota': 22}]",89
4379,Mccoy-Cook,1986-11-16,"[{'azionista': 1642, 'quota': 56}, {'azionista': 2373, 'quota': 12}, {'azionista': 2076, 'quota': 32}]",81
4380,Galloway-Perez,1972-12-26,"[{'azionista': 1197, 'quota': 74}, {'azionista': 520, 'quota': 26}]",28
4381,Gutierrez-Torres,1982-04-11,"[{'azionista': 1672, 'quota': 75}, {'azionista': 2041, 'quota': 25}]",46
4382,Davis-Hubbard,1989-10-31,"[{'azionista': 2067, 'quota': 12}, {'azionista': 2179, 'quota': 24}, {'azionista': 852, 'quota': 13}, {'azionista': 1498, 'quota': 51}]",32
4383,Tucker-Griffin,1962-07-01,"[{'azionista': 2242, 'quota': 13}, {'azionista': 1507, 'quota': 87}]",12
4384,Ward Ltd,1980-11-08,"[{'azionista': 2094, 'quota': 10}, {'azionista': 582, 'quota': 89}, {'azionista': 1836, 'quota': 1}]",12
4385,Lewis Group,1990-01-27,"[{'azionista': 1677, 'quota': 33}, {'azionista': 2493, 'quota': 67}]",17
4386,Hodge PLC,1965-10-23,"[{'azionista': 463, 'quota': 60}, {'azionista': 59, 'quota': 19}, {'azionista': 1442, 'quota': 21}]",26
4387,Robertson PLC,1976-10-19,"[{'azionista': 2346, 'quota': 76}, {'azionista': 2311, 'quota': 24}]",10
4388,"Davis, Kent and Rowe",1965-05-10,"[{'azionista': 2480, 'quota': 10}, {'azionista': 2156, 'quota': 13}, {'azionista': 415, 'quota': 41}, {'azionista': 2353, 'quota': 36}]",41
4389,"Wolf, Hall and Mitchell",1966-05-08,"[{'azionista': 16, 'quota': 73}, {'azionista': 2337, 'quota': 12}, {'azionista': 39, 'quota': 15}]",78
4390,"Galvan, Cruz and Valdez",1977-05-16,"[{'azionista': 2072, 'quota': 79}, {'azionista': 893, 'quota': 21}]",78
4391,Hill-Lynch,1992-11-15,"[{'azionista': 2482, 'quota': 57}, {'azionista': 671, 'quota': 43}]",65
4392,Wright-Molina,1974-11-25,"[{'azionista': 2039, 'quota': 83}, {'azionista': 2016, 'quota': 17}]",67
4393,"Brown, Wood and Johnson",1975-12-26,"[{'azionista': 2134, 'quota': 70}, {'azionista': 667, 'quota': 6}, {'azionista': 836, 'quota': 24}]",12
4394,"Martinez, Howell and Parker",1966-05-20,"[{'azionista': 1648, 'quota': 29}, {'azionista': 1581, 'quota': 71}]",59
4395,Campbell Group,1984-09-03,"[{'azionista': 781, 'quota': 66}, {'azionista': 1996, 'quota': 17}, {'azionista': 2092, 'quota': 17}]",13
4396,Moore PLC,1999-05-22,"[{'azionista': 624, 'quota': 52}, {'azionista': 135, 'quota': 48}]",8
4397,"Garrett, Costa and Ramirez",1983-02-02,"[{'azionista': 2307, 'quota': 34}, {'azionista': 1825, 'quota': 61}, {'azionista': 405, 'quota': 5}]",8
4398,"Fox, Tate and Miller",1988-07-24,"[{'azionista': 801, 'quota': 91}, {'azionista': 2137, 'quota': 9}]",39
4399,Williams-Walter,1965-11-22,"[{'azionista': 1762, 'quota': 43}, {'azionista': 506, 'quota': 57}]",49
4400,"Macdonald, Webb and Russo",1978-03-10,"[{'azionista': 2156, 'quota': 17}, {'azionista': 443, 'quota': 83}]",4
4401,Jackson LLC,1998-09-19,"[{'azionista': 1883, 'quota': 59}, {'azionista': 2106, 'quota': 39}, {'azionista': 1217, 'quota': 2}]",37
4402,"Wright, Brown and Hernandez",1998-05-12,"[{'azionista': 645, 'quota': 16}, {'azionista': 639, 'quota': 49}, {'azionista': 222, 'quota': 35}]",16
4403,"Williams, Lee and Gray",1995-07-15,"[{'azionista': 956, 'quota': 74}, {'azionista': 2081, 'quota': 26}]",22
4404,Walker Inc,1998-12-08,"[{'azionista': 873, 'quota': 34}, {'azionista': 92, 'quota': 66}]",80
4405,"Randolph, Edwards and Garrett",1979-02-08,"[{'azionista': 1957, 'quota': 88}, {'azionista': 1895, 'quota': 2}, {'azionista': 2017, 'quota': 10}]",8
4406,Howard-Christian,1984-08-21,"[{'azionista': 1746, 'quota': 15}, {'azionista': 1303, 'quota': 35}, {'azionista': 2439, 'quota': 12}, {'azionista': 919, 'quota': 38}]",13
4407,"Cain, Hoover and Matthews",1965-12-13,"[{'azionista': 647, 'quota': 2}, {'azionista': 720, 'quota': 95}, {'azionista': 611, 'quota': 1}, {'azionista': 293, 'quota': 2}]",25
4408,Jones Group,1976-02-13,"[{'azionista': 589, 'quota': 83}, {'azionista': 1391, 'quota': 17}]",56
4409,Powell PLC,1989-02-11,"[{'azionista': 591, 'quota': 36}, {'azionista': 1834, 'quota': 26}, {'azionista': 329, 'quota': 21}, {'azionista': 1848, 'quota': 17}]",67
