id,nome,data_fondazione,quotazioni,sede
13125,"Parsons, Bullock and Fisher",1976-10-05,"[{'azionista': 4517, 'quota': 18}, {'azionista': 4499, 'quota': 5}, {'azionista': 2925, 'quota': 70}, {'azionista': 2246, 'quota': 7}]",94
13126,Carson and Sons,1978-09-21,"[{'azionista': 5670, 'quota': 25}, {'azionista': 3458, 'quota': 75}]",24
13127,Howard Inc,1977-01-17,"[{'azionista': 5692, 'quota': 56}, {'azionista': 4647, 'quota': 44}]",72
13128,Jones PLC,1988-10-29,"[{'azionista': 5423, 'quota': 16}, {'azionista': 3673, 'quota': 39}, {'azionista': 3809, 'quota': 45}]",70
13129,Garcia-Nelson,1984-08-14,"[{'azionista': 5897, 'quota': 87}, {'azionista': 5101, 'quota': 13}]",27
13130,Turner-Johnson,1960-10-10,"[{'azionista': 3525, 'quota': 57}, {'azionista': 2715, 'quota': 43}]",8
13131,Meadows LLC,1972-12-19,"[{'azionista': 5190, 'quota': 95}, {'azionista': 4147, 'quota': 5}]",36
13132,Wallace-Parsons,1976-12-06,"[{'azionista': 724, 'quota': 22}, {'azionista': 5838, 'quota': 15}, {'azionista': 6322, 'quota': 63}]",59
13133,Rodriguez-Alvarez,1971-08-02,"[{'azionista': 1749, 'quota': 38}, {'azionista': 5173, 'quota': 38}, {'azionista': 4290, 'quota': 24}]",53
13134,White-Johnston,1972-02-19,"[{'azionista': 3389, 'quota': 10}, {'azionista': 2979, 'quota': 22}, {'azionista': 2070, 'quota': 28}, {'azionista': 6193, 'quota': 18}, {'azionista': 5075, 'quota': 22}]",39
13135,Sampson-Jordan,1992-08-13,"[{'azionista': 2190, 'quota': 39}, {'azionista': 9, 'quota': 45}, {'azionista': 5858, 'quota': 16}]",46
13136,"Burns, Myers and Ramirez",1984-12-28,"[{'azionista': 1049, 'quota': 51}, {'azionista': 1027, 'quota': 43}, {'azionista': 6145, 'quota': 6}]",80
13137,Hall and Sons,1979-11-24,"[{'azionista': 4674, 'quota': 28}, {'azionista': 1794, 'quota': 72}]",38
13138,"Gonzalez, Smith and Hernandez",1971-09-09,"[{'azionista': 5726, 'quota': 88}, {'azionista': 6234, 'quota': 1}, {'azionista': 3007, 'quota': 11}]",74
13139,"Price, Baker and Gardner",1967-06-11,"[{'azionista': 4401, 'quota': 69}, {'azionista': 7495, 'quota': 31}]",37
13140,Anderson Ltd,1965-08-14,"[{'azionista': 3734, 'quota': 55}, {'azionista': 5102, 'quota': 45}]",9
13141,Allen and Sons,1985-02-07,"[{'azionista': 3513, 'quota': 13}, {'azionista': 4974, 'quota': 87}]",50
13142,"Potter, Fitzpatrick and Russo",1993-10-01,"[{'azionista': 5549, 'quota': 70}, {'azionista': 743, 'quota': 7}, {'azionista': 3232, 'quota': 23}]",13
13143,Rivas-Madden,1976-05-16,"[{'azionista': 4040, 'quota': 81}, {'azionista': 7416, 'quota': 13}, {'azionista': 4472, 'quota': 6}]",52
13144,"Coffey, Roman and Gordon",1963-02-09,"[{'azionista': 2422, 'quota': 5}, {'azionista': 1906, 'quota': 3}, {'azionista': 5559, 'quota': 35}, {'azionista': 4955, 'quota': 25}, {'azionista': 7489, 'quota': 32}]",31
13145,Carter and Sons,1979-01-20,"[{'azionista': 2101, 'quota': 11}, {'azionista': 3415, 'quota': 21}, {'azionista': 2774, 'quota': 68}]",85
