id,codice_transazione,importo,emittente,beneficiario,banca,data
0,660011,255408.81,11,5526,45,2021-02-16
1,264715,929576.12,10030,8591,91,2017-08-26
2,980389,864461.47,11820,1929,101,2000-09-03
3,421484,169593.01,3444,7103,111,2006-10-01
4,942167,635182.59,6744,4896,23,2000-09-28
5,921017,513146.28,11914,6689,111,2004-11-29
6,24694,364981.07,8893,1775,107,2017-01-26
7,245230,106309.4,1555,2889,89,2014-07-17
8,4022,673124.46,10945,2900,105,2010-06-15
9,892775,93063.53,1541,2154,91,2004-10-03
10,604393,606692.75,7042,10012,37,2002-03-16
11,607735,688399.6,4091,10458,88,2002-11-13
12,203107,368569.72,1486,1295,112,2012-04-28
13,898138,443594.22,5937,2613,46,2012-06-29
14,119827,872331.1,3564,11243,52,2012-11-15
15,648534,801421.92,2712,1057,26,2012-01-20
16,432783,150149.76,2105,3511,60,2015-10-07
17,389435,686972.73,7837,8338,82,2010-04-04
18,633294,70952.45,207,594,106,2020-10-25
19,420864,207753.91,7538,8851,23,2001-07-10
20,90115,949440.55,8749,9884,72,2002-11-05
21,96820,682000.1,2716,11961,76,2022-03-10
22,101204,629124.72,8365,12331,82,2017-06-17
23,105970,971990.6,1312,7217,113,2014-05-23
24,981636,686574.8,9840,1756,97,2018-11-30
25,817798,196119.06,5014,7079,44,2007-02-22
26,554112,768227.09,6957,770,76,2002-12-29
27,916938,344286.49,2014,10665,38,2004-10-04
28,208350,362164.91,369,8687,65,2020-09-11
29,497862,721343.69,4566,9834,34,2021-09-13
30,77179,3654.21,9345,8724,116,2018-11-21
31,223689,162808.88,3085,6762,58,2015-05-05
32,398127,358565.72,3091,10313,119,2002-05-18
33,46331,241134.4,3301,7211,119,2022-05-10
34,315278,117399.23,2568,5031,28,2010-10-25
35,386350,809101.84,875,1348,63,2012-04-14
36,455527,324073.97,6626,1232,54,2002-10-08
37,270741,313915.28,9584,408,46,2008-05-20
38,28594,429176.17,5266,8824,101,2010-11-18
39,436632,73064.93,8197,3746,73,2004-06-22
40,757318,609751.72,4574,2637,33,2017-12-19
41,153436,566668.04,796,11414,19,2002-08-01
42,549422,335363.61,4999,8784,55,2007-02-17
43,857548,457393.02,7040,834,74,2001-10-17
