id,nome,data_fondazione,quotazioni,sede
0,"Hendrix, Sanchez and Scott",1969-11-23,"[{'azionista': 2497, 'quota': 79}, {'azionista': 3216, 'quota': 1}, {'azionista': 3284, 'quota': 2}, {'azionista': 2962, 'quota': 18}]",52
1,"Burton, Johnson and Scott",1996-06-10,"[{'azionista': 4332, 'quota': 77}, {'azionista': 3548, 'quota': 23}]",83
2,Scott and Sons,1997-06-17,"[{'azionista': 3798, 'quota': 46}, {'azionista': 2541, 'quota': 29}, {'azionista': 3538, 'quota': 19}, {'azionista': 4156, 'quota': 6}]",101
3,Cunningham-Anderson,1996-02-02,"[{'azionista': 2262, 'quota': 58}, {'azionista': 3935, 'quota': 42}]",10
4,Dixon-Kidd,1987-09-25,"[{'azionista': 3854, 'quota': 57}, {'azionista': 3152, 'quota': 43}]",102
5,Harris LLC,1975-08-04,"[{'azionista': 4365, 'quota': 33}, {'azionista': 2413, 'quota': 33}, {'azionista': 3157, 'quota': 34}]",82
6,Davies-Meadows,1994-11-22,"[{'azionista': 1885, 'quota': 5}, {'azionista': 2026, 'quota': 13}, {'azionista': 2926, 'quota': 40}, {'azionista': 2991, 'quota': 42}]",15
7,Smith LLC,1995-05-07,"[{'azionista': 3939, 'quota': 14}, {'azionista': 3039, 'quota': 81}, {'azionista': 3235, 'quota': 5}]",41
8,"Moore, Lopez and Thompson",1986-05-24,"[{'azionista': 2971, 'quota': 84}, {'azionista': 3134, 'quota': 16}]",81
9,"Novak, Porter and Carson",1964-09-19,"[{'azionista': 4275, 'quota': 92}, {'azionista': 2105, 'quota': 8}]",54
10,Stephenson-Hunter,1987-02-04,"[{'azionista': 2008, 'quota': 67}, {'azionista': 2961, 'quota': 4}, {'azionista': 2525, 'quota': 29}]",44
11,Brown Inc,1997-07-25,"[{'azionista': 2790, 'quota': 57}, {'azionista': 2916, 'quota': 43}]",89
12,Lopez Inc,1961-03-01,"[{'azionista': 4270, 'quota': 63}, {'azionista': 3532, 'quota': 25}, {'azionista': 3260, 'quota': 12}]",36
13,"Moreno, Solomon and Walker",1984-05-15,"[{'azionista': 4329, 'quota': 68}, {'azionista': 2094, 'quota': 20}, {'azionista': 1914, 'quota': 12}]",58
14,Bowers and Sons,1978-06-27,"[{'azionista': 3209, 'quota': 88}, {'azionista': 1926, 'quota': 12}]",16
15,Anderson Group,1970-09-07,"[{'azionista': 4003, 'quota': 11}, {'azionista': 4135, 'quota': 73}, {'azionista': 2869, 'quota': 16}]",0
16,Holt and Sons,1976-10-06,"[{'azionista': 2681, 'quota': 21}, {'azionista': 4168, 'quota': 79}]",96
17,"Smith, Lewis and Miller",1969-12-15,"[{'azionista': 3120, 'quota': 100}]",50
18,"Lewis, Williams and Ford",1984-02-25,"[{'azionista': 4213, 'quota': 43}, {'azionista': 3307, 'quota': 27}, {'azionista': 1966, 'quota': 20}, {'azionista': 2797, 'quota': 10}]",77
19,Wilkinson PLC,1978-07-19,"[{'azionista': 2890, 'quota': 72}, {'azionista': 3540, 'quota': 28}]",79
20,Bradley PLC,1985-03-05,"[{'azionista': 3891, 'quota': 65}, {'azionista': 1959, 'quota': 35}]",75
21,Davis-Sherman,1966-06-04,"[{'azionista': 3012, 'quota': 42}, {'azionista': 3518, 'quota': 53}, {'azionista': 2488, 'quota': 5}]",2
22,Trujillo-Reyes,1986-10-06,"[{'azionista': 2603, 'quota': 23}, {'azionista': 2257, 'quota': 39}, {'azionista': 3488, 'quota': 24}, {'azionista': 2463, 'quota': 14}]",19
23,Hogan PLC,1988-10-07,"[{'azionista': 2373, 'quota': 9}, {'azionista': 2285, 'quota': 2}, {'azionista': 2093, 'quota': 38}, {'azionista': 2906, 'quota': 51}]",11
24,Richards Ltd,1963-01-11,"[{'azionista': 2805, 'quota': 61}, {'azionista': 2886, 'quota': 39}]",43
25,"Hernandez, Hughes and Reyes",1983-04-16,"[{'azionista': 2343, 'quota': 59}, {'azionista': 2824, 'quota': 41}]",53
26,Hill LLC,1962-11-08,"[{'azionista': 3566, 'quota': 35}, {'azionista': 4133, 'quota': 4}, {'azionista': 3192, 'quota': 10}, {'azionista': 2831, 'quota': 35}, {'azionista': 3846, 'quota': 16}]",50
27,Walsh-Rice,1992-10-26,"[{'azionista': 3441, 'quota': 76}, {'azionista': 4209, 'quota': 24}]",24
28,"Smith, Martinez and Cunningham",1962-12-04,"[{'azionista': 3805, 'quota': 73}, {'azionista': 3534, 'quota': 26}, {'azionista': 3235, 'quota': 1}]",28
29,Pineda-Smith,1985-10-29,"[{'azionista': 3676, 'quota': 100}]",15
30,Wheeler PLC,1988-04-11,"[{'azionista': 3495, 'quota': 17}, {'azionista': 3059, 'quota': 17}, {'azionista': 3039, 'quota': 66}]",3
31,Liu-Cook,1977-09-12,"[{'azionista': 2284, 'quota': 87}, {'azionista': 2254, 'quota': 13}]",54
32,Schwartz Inc,1992-08-24,"[{'azionista': 2697, 'quota': 54}, {'azionista': 3764, 'quota': 22}, {'azionista': 2544, 'quota': 6}, {'azionista': 2809, 'quota': 18}]",18
33,"Maldonado, Baker and Harris",1987-04-13,"[{'azionista': 2426, 'quota': 91}, {'azionista': 1991, 'quota': 9}]",1
34,"Roberts, Ross and Rowland",1979-06-06,"[{'azionista': 3049, 'quota': 22}, {'azionista': 3308, 'quota': 74}, {'azionista': 3856, 'quota': 4}]",77
35,Boyd-Potter,1970-11-22,"[{'azionista': 3692, 'quota': 74}, {'azionista': 2283, 'quota': 18}, {'azionista': 2124, 'quota': 8}]",91
36,"Gregory, Miller and Hunt",1967-08-31,"[{'azionista': 2206, 'quota': 45}, {'azionista': 2008, 'quota': 31}, {'azionista': 2061, 'quota': 24}]",60
