azienda,azionista,quota,ubo
0,16399,11,0,
0,13097,60,0,
0,12005,26,0,
0,12029,3,0,
1,10720,83,0,
1,16140,17,0,
2,15921,80,0,
2,15328,20,0,
3,13328,44,0,
3,14885,54,0,
3,13399,2,0,
4,17398,43,0,
4,13585,57,0,
5,11695,71,0,
5,13629,29,0,
6,14435,67,0,
6,9659,33,0,
7,12114,81,0,
7,16504,19,0,
8,17082,83,0,
8,8780,17,0,
9,13339,81,0,
9,10815,19,0,
10,10960,94,0,
10,13110,5,0,
10,8681,1,0,
11,10946,57,0,
11,12576,16,0,
11,8536,27,0,
12,12135,23,0,
12,9743,50,0,
12,7717,27,0,
13,8769,68,0,
13,9067,32,0,
14,8790,52,0,
14,12145,48,0,
15,16047,58,0,
15,12217,42,0,
16,11809,100,0,
17,15865,84,0,
17,15637,16,0,
18,15639,62,0,
18,15311,38,0,
19,14865,33,0,
19,17443,67,0,
20,14484,8,0,
20,17499,92,0,
21,9910,84,0,
21,16674,5,0,
21,14442,11,0,
22,15077,65,0,
22,8282,35,0,
23,16526,28,0,
23,10519,24,0,
23,16609,25,0,
23,10976,23,0,
24,8802,16,0,
24,13483,82,0,
24,12821,2,0,
25,15443,82,0,
25,14811,18,0,
26,14315,21,0,
26,14816,53,0,
26,17018,26,0,
27,17278,33,0,
27,12078,67,0,
28,16173,16,0,
28,11961,84,0,
29,10994,79,0,
29,14436,21,0,
30,17383,42,0,
30,13555,16,0,
30,13869,42,0,
31,14592,60,0,
31,12687,40,0,
32,15258,33,0,
32,11591,9,0,
32,8825,51,0,
32,7807,7,0,
33,12086,45,0,
33,9614,55,0,
34,10170,6,0,
34,10325,80,0,
34,13312,14,0,
35,16780,98,0,
35,14053,1,0,
35,9368,1,0,
36,13790,83,0,
36,13537,17,0,
37,13174,57,0,
37,15073,43,0,
38,9089,14,0,
38,9397,71,0,
38,9890,15,0,
39,10735,96,0,
39,16073,4,0,
40,9832,98,0,
40,10725,2,0,
41,9201,71,0,
41,11613,29,0,
42,10025,57,0,
42,16245,43,0,
43,9339,4,0,
43,13873,96,0,
44,8877,32,0,
44,14942,30,0,
44,10797,38,0,
45,9530,1,0,
45,17145,41,0,
45,16902,26,0,
45,13060,14,0,
45,10188,5,0,
45,17338,13,0,
46,12040,85,0,
46,12743,15,0,
47,15836,32,0,
47,15087,68,0,
48,16496,69,0,
48,11479,28,0,
48,14719,3,0,
49,15971,2,0,
49,15055,74,0,
49,8523,24,0,
50,10119,20,0,
50,14784,32,0,
50,12389,34,0,
50,16963,14,0,
51,13830,54,0,
51,16336,46,0,
52,7901,92,0,
52,14033,8,0,
53,7914,63,0,
53,7911,37,0,
54,13759,75,0,
54,17324,25,0,
55,11063,48,0,
55,8060,52,0,
56,15105,71,0,
56,14389,29,0,
57,17131,93,0,
57,13485,7,0,
58,11607,71,0,
58,8771,29,0,
59,10417,2,0,
59,9879,71,0,
59,12317,7,0,
59,13763,20,0,
60,13962,59,0,
60,15817,41,0,
61,13414,1,0,
61,15394,61,0,
61,11784,38,0,
62,11818,94,0,
62,11783,5,0,
62,16893,1,0,
63,7709,76,0,
63,11836,24,0,
64,16621,86,0,
64,8275,5,0,
64,9518,9,0,
65,12181,44,0,
65,15541,56,0,
66,16808,98,0,
66,16491,2,0,
67,15623,53,0,
67,16979,47,0,
68,14665,51,0,
68,10106,47,0,
68,15269,2,0,
69,14237,4,0,
69,8593,58,0,
69,16585,38,0,
70,15821,86,0,
70,12752,14,0,
71,9659,70,0,
71,14092,30,0,
72,14761,59,0,
72,15176,41,0,
73,16978,15,0,
73,8582,56,0,
73,11712,29,0,
74,8046,60,0,
74,7747,31,0,
74,10693,9,0,
75,14008,21,0,
75,11229,27,0,
75,11957,52,0,
76,9544,1,0,
76,13208,18,0,
76,15513,9,0,
76,16641,72,0,
77,13593,72,0,
77,15793,14,0,
77,12539,14,0,
78,8763,7,0,
78,16892,44,0,
78,8934,49,0,
79,9480,54,0,
79,12075,46,0,
80,17195,83,0,
80,7855,17,0,
81,11201,40,0,
81,17253,57,0,
81,15544,3,0,
82,10959,95,0,
82,8519,5,0,
83,12993,95,0,
83,12921,1,0,
83,17298,4,0,
84,16964,21,0,
84,8610,79,0,
85,7891,37,0,
85,16634,50,0,
85,15616,13,0,
86,9666,48,0,
86,13367,12,0,
86,11289,40,0,
87,11599,91,0,
87,16307,9,0,
88,11878,97,0,
88,11038,3,0,
89,10330,44,0,
89,12496,56,0,
90,10464,69,0,
90,9473,31,0,
91,11505,77,0,
91,13918,23,0,
92,17252,36,0,
92,9731,64,0,
93,17473,12,0,
93,10807,20,0,
93,8148,1,0,
93,12947,67,0,
94,8238,49,0,
94,13037,51,0,
95,8147,42,0,
95,13701,17,0,
95,7639,41,0,
96,15597,7,0,
96,12534,56,0,
96,11466,37,0,
97,7801,48,0,
97,12917,52,0,
98,16888,2,0,
98,8431,59,0,
98,16654,9,0,
98,10444,30,0,
99,14332,24,0,
99,11910,60,0,
99,8268,16,0,
100,8927,65,0,
100,8682,35,0,
101,14236,77,0,
101,11807,23,0,
102,17104,56,0,
102,16013,44,0,
103,9369,72,0,
103,12859,28,0,
104,12231,8,0,
104,16753,69,0,
104,11172,23,0,
105,10256,27,0,
105,8921,37,0,
105,15588,36,0,
106,11923,92,0,
106,11883,8,0,
107,17323,67,0,
107,12497,33,0,
108,16372,61,0,
