id,nome,data_fondazione,quotazioni,sede
8750,Jefferson PLC,1983-04-12,"[{'azionista': 4925, 'quota': 26}, {'azionista': 4780, 'quota': 16}, {'azionista': 3761, 'quota': 4}, {'azionista': 2655, 'quota': 37}, {'azionista': 2249, 'quota': 17}]",73
8751,"Sutton, Clark and Wall",1969-07-10,"[{'azionista': 3008, 'quota': 97}, {'azionista': 924, 'quota': 3}]",30
8752,Gonzalez Inc,1979-10-29,"[{'azionista': 921, 'quota': 84}, {'azionista': 697, 'quota': 16}]",15
8753,Henson Ltd,1982-10-04,"[{'azionista': 3618, 'quota': 80}, {'azionista': 4646, 'quota': 20}]",57
8754,Rice-Wilson,1977-07-15,"[{'azionista': 3075, 'quota': 82}, {'azionista': 2070, 'quota': 18}]",23
8755,Ramirez and Sons,1999-05-22,"[{'azionista': 2210, 'quota': 49}, {'azionista': 4231, 'quota': 51}]",29
8756,Blackburn and Sons,1977-07-25,"[{'azionista': 464, 'quota': 93}, {'azionista': 2724, 'quota': 7}]",56
8757,Alexander and Sons,1976-05-14,"[{'azionista': 645, 'quota': 40}, {'azionista': 2044, 'quota': 33}, {'azionista': 3341, 'quota': 27}]",78
8758,Johnson Inc,1969-03-20,"[{'azionista': 3791, 'quota': 37}, {'azionista': 1548, 'quota': 63}]",8
8759,"Riggs, Brewer and Cain",1960-10-20,"[{'azionista': 2085, 'quota': 14}, {'azionista': 3578, 'quota': 7}, {'azionista': 2938, 'quota': 59}, {'azionista': 2434, 'quota': 13}, {'azionista': 325, 'quota': 7}]",17
8760,Burns-Manning,1982-01-04,"[{'azionista': 1575, 'quota': 18}, {'azionista': 3323, 'quota': 53}, {'azionista': 4257, 'quota': 29}]",90
8761,Hardin-Harrison,1967-01-19,"[{'azionista': 2326, 'quota': 68}, {'azionista': 1264, 'quota': 32}]",76
8762,Murphy-Harris,1980-09-21,"[{'azionista': 338, 'quota': 1}, {'azionista': 1998, 'quota': 73}, {'azionista': 3368, 'quota': 26}]",0
8763,Moore Ltd,1975-02-10,"[{'azionista': 961, 'quota': 69}, {'azionista': 947, 'quota': 31}]",50
8764,Woodward Ltd,1966-11-05,"[{'azionista': 2572, 'quota': 13}, {'azionista': 4023, 'quota': 79}, {'azionista': 644, 'quota': 8}]",5
8765,"Garcia, Yates and Williams",1986-05-23,"[{'azionista': 2907, 'quota': 7}, {'azionista': 2433, 'quota': 78}, {'azionista': 3086, 'quota': 15}]",88
8766,Sanders Group,1965-05-02,"[{'azionista': 933, 'quota': 59}, {'azionista': 1582, 'quota': 41}]",16
8767,"Brown, Richards and Serrano",1991-08-10,"[{'azionista': 4432, 'quota': 15}, {'azionista': 2483, 'quota': 7}, {'azionista': 4745, 'quota': 76}, {'azionista': 2306, 'quota': 2}]",73
