azienda,azionista,quota,ubo
0,9062,36,0,
0,9494,13,0,
0,10678,49,0,
0,10190,2,0,
1,12651,92,0,
1,10602,8,0,
2,8098,14,0,
2,5833,86,0,
3,7416,52,0,
3,8527,20,0,
3,6278,28,0,
4,7215,37,0,
4,12469,55,0,
4,6958,8,0,
5,10004,11,0,
5,9682,89,0,
6,8083,4,0,
6,9593,1,0,
6,9398,25,0,
6,8566,70,0,
7,6628,9,0,
7,8098,28,0,
7,7962,54,0,
7,10678,3,0,
7,11299,6,0,
8,9444,45,0,
8,11841,55,0,
9,11688,72,0,
9,9702,28,0,
10,6934,69,0,
10,11482,31,0,
11,7636,75,0,
11,13109,25,0,
12,8674,77,0,
12,6536,20,0,
12,12845,3,0,
13,5721,17,0,
13,11874,83,0,
14,10379,70,0,
14,7441,30,0,
15,9060,64,0,
15,6431,22,0,
15,6621,12,0,
15,6296,2,0,
16,9688,78,0,
16,11081,6,0,
16,9025,16,0,
17,10419,95,0,
17,8097,5,0,
18,9257,72,0,
18,6774,28,0,
19,10548,88,0,
19,12843,7,0,
19,9165,5,0,
20,11310,92,0,
20,11431,8,0,
21,6111,43,0,
21,6791,32,0,
21,7469,25,0,
22,12586,78,0,
22,9648,22,0,
23,6915,38,0,
23,6805,34,0,
23,6855,28,0,
24,7781,2,0,
24,12891,49,0,
24,10420,49,0,
25,12061,14,0,
25,6126,86,0,
26,11712,57,0,
26,5924,43,0,
27,8927,3,0,
27,6889,78,0,
27,10149,19,0,
28,7612,48,0,
28,12753,47,0,
28,11462,5,0,
29,12824,16,0,
29,6085,78,0,
29,8144,6,0,
30,10580,48,0,
30,10221,52,0,
31,8977,32,0,
31,6675,11,0,
31,13108,57,0,
32,6172,78,0,
32,9944,22,0,
33,6075,79,0,
33,10850,21,0,
34,8622,47,0,
34,7493,2,0,
34,6137,51,0,
35,6741,78,0,
35,11935,22,0,
36,11662,52,0,
36,10773,48,0,
37,9583,7,0,
37,12770,31,0,
37,11323,9,0,
37,6820,53,0,
38,5805,74,0,
38,7598,16,0,
38,11528,10,0,
39,11913,24,0,
39,7105,7,0,
39,8728,31,0,
39,7492,38,0,
40,5906,15,0,
40,11342,43,0,
40,6957,42,0,
41,9672,9,0,
41,5969,54,0,
41,10817,37,0,
42,7964,31,0,
42,8893,5,0,
42,13028,64,0,
43,9440,23,0,
43,12307,4,0,
43,8836,41,0,
43,7763,32,0,
44,8939,33,0,
44,12395,6,0,
44,12858,1,0,
44,11353,59,0,
44,11022,1,0,
45,6462,70,0,
45,7096,30,0,
46,12233,41,0,
46,9928,59,0,
47,10127,29,0,
47,12357,71,0,
48,10254,83,0,
48,8308,17,0,
49,12599,65,0,
49,8567,25,0,
49,10171,10,0,
50,5804,98,0,
50,6277,2,0,
51,9880,9,0,
51,6694,44,0,
51,8674,47,0,
52,12556,74,0,
52,11769,26,0,
53,8193,18,0,
53,6550,82,0,
54,6219,52,0,
54,9178,43,0,
54,7046,5,0,
55,8390,28,0,
55,7829,53,0,
55,11378,19,0,
56,6558,97,0,
56,7500,3,0,
57,9226,52,0,
57,8446,48,0,
58,7319,39,0,
58,11608,43,0,
58,8856,18,0,
59,9840,20,0,
59,6516,7,0,
59,10733,40,0,
59,13066,15,0,
59,12281,18,0,
60,11463,94,0,
60,10771,6,0,
61,5832,77,0,
61,6366,23,0,
62,10271,38,0,
62,11695,58,0,
62,6246,4,0,
63,10098,36,0,
63,7509,64,0,
64,8015,37,0,
64,12415,24,0,
64,13104,9,0,
64,11037,30,0,
65,6214,4,0,
65,10435,16,0,
65,6107,63,0,
