id,codice_transazione,importo,emittente,beneficiario,banca,data
0,91787,249841.39,8185,7934,62,2004-12-15
1,437345,590553.31,11525,2245,14,2003-01-22
2,956463,702790.46,20440,17445,47,2009-08-28
3,901009,899221.3,15973,8590,71,2021-02-01
4,760174,946859.17,7677,697,118,2003-08-11
5,839841,688496.49,7996,22475,82,2000-01-01
6,138715,790997.42,23348,8189,5,2001-02-28
7,280416,332268.05,21789,3962,47,2016-01-29
8,724982,287688.57,6254,16538,20,2005-05-07
9,801293,11767.2,23643,22379,62,2004-06-03
10,763299,786713.43,11822,3287,79,2013-07-21
11,294138,758374.2,10056,5650,79,2001-12-14
12,567892,237883.47,9462,20376,7,2018-02-12
13,473788,656020.17,19863,30,101,2004-06-06
14,638530,517399.84,12650,7443,39,2002-02-02
15,300934,648371.97,9953,24493,24,2010-04-15
16,842274,646264.12,13422,10733,40,2015-03-08
17,921053,498490.07,12503,2373,68,2011-12-24
18,159683,562972.96,13851,23428,90,2018-11-30
19,502900,193176.42,8417,6703,8,2019-07-28
20,547283,141117.27,22633,17389,53,2008-05-03
21,875440,52383.21,23538,6410,73,2002-02-05
22,224519,94394.28,3912,20372,14,2017-09-18
23,811477,672692.6,2362,7379,2,2009-07-10
24,810017,581362.41,4136,23563,107,2012-11-23
25,603584,709010.7,23959,5155,90,2002-11-23
26,358751,268551.46,10116,7607,52,2019-02-28
27,166312,635943.1,21639,17338,7,2009-09-20
28,62489,534111.56,1118,12341,93,2006-10-26
29,327471,908825.1,21050,11495,22,2006-07-17
30,831549,873010.8,3899,18861,3,2002-06-27
31,203771,355683.4,18734,22822,117,2011-01-13
32,658156,274304.79,17480,11336,94,2015-10-27
33,405274,968261.46,22381,2936,112,2018-10-07
34,727633,428209.44,22651,13787,63,2007-09-22
35,389532,165656.39,10838,10902,32,2009-12-20
36,478725,620576.12,12612,21376,116,2000-10-11
37,625952,157058.42,8752,23293,23,2021-06-04
38,709089,530348.51,20838,4000,113,2005-03-09
39,415917,758961.61,11750,14188,46,2006-01-03
40,217720,52820.05,147,13488,118,2002-10-19
41,250904,201976.93,23827,18670,93,2005-01-17
42,171678,705206.42,20748,10820,106,2020-06-06
43,938037,263283.11,10373,22914,103,2006-06-13
44,15831,235391.87,19094,13056,65,2019-01-01
45,654503,991636.61,8226,22877,105,2006-02-21
46,477643,9231.22,637,2823,74,2022-03-18
47,73120,442104.9,24414,19186,75,2009-07-21
48,740153,807047.84,2799,8569,115,2017-05-06
49,627306,188509.06,4819,9116,64,2003-03-14
50,151201,486515.72,7475,4221,91,2016-04-27
51,198734,86811.49,5367,1951,41,2013-01-04
52,193001,918939.51,16613,24587,93,2017-01-21
53,737754,338311.39,24412,20494,59,2016-11-05
54,999516,197972.06,8836,14286,117,2019-04-01
55,249526,910628.09,9544,1290,64,2003-03-11
56,61382,753844.11,11284,8185,21,2006-04-04
57,880297,402680.2,10092,10469,57,2022-01-17
58,986469,982152.62,837,619,88,2016-05-15
59,721856,237811.08,7700,21864,30,2014-05-09
60,385275,702380.9,3734,9980,79,2008-02-13
61,497448,763004.39,23771,11312,108,2009-10-03
62,256640,742934.33,23098,1228,105,2018-01-30
63,691059,898413.4,22061,24007,19,2000-10-22
64,267217,405399.06,20476,14893,30,2021-08-03
65,988754,512667.24,8326,12715,68,2006-06-02
66,111153,190787.2,23418,16982,64,2015-04-15
67,341162,335408.42,16624,1941,40,2004-08-12
68,768028,571811.13,11516,9041,115,2013-12-20
69,187465,89322.07,23074,7739,100,2015-09-12
70,133684,875789.23,17940,7062,17,2016-11-05
71,509489,954443.39,17659,3540,44,2011-07-16
72,568137,41370.0,9943,11666,17,2003-09-16
73,135942,118854.43,1571,10155,31,2015-02-13
74,77051,121307.61,6306,1531,35,2011-11-21
75,324539,293089.07,20554,19095,29,2016-02-26
76,114974,602740.35,21805,684,114,2012-10-10
77,868388,733473.51,4463,16018,84,2012-02-14
78,48847,985901.27,15622,19144,3,2012-12-13
79,809825,92236.17,3426,17361,108,2016-12-23
80,233724,659016.12,3106,3269,66,2015-10-21
81,681562,990285.43,22499,1677,14,2022-04-03
82,922756,439949.4,15750,13501,34,2003-10-07
83,904523,514433.44,21598,17451,4,2005-11-13
84,98220,968802.64,10266,9094,113,2004-12-12
85,592734,576900.75,20826,6740,65,2011-08-10
86,837631,400236.66,14988,5848,96,2019-02-02
87,957326,292061.65,24675,5032,76,2004-04-01
88,616450,679479.99,3282,23282,70,2018-05-16
89,483198,612680.91,19039,15653,116,2003-07-14
90,515373,644212.35,6539,20156,73,2006-10-26
91,344694,157443.77,10182,1294,81,2018-09-11
92,613167,785790.41,1821,18027,62,2020-12-31
93,911667,766963.06,21306,16674,60,2009-12-14
94,209937,730188.08,15250,253,108,2017-10-18
95,233023,924890.71,16493,16094,82,2009-03-23
96,874369,440494.46,11762,1913,88,2007-01-25
97,784190,197248.73,2754,12687,52,2013-09-04
98,704652,961787.15,5629,7407,46,2008-08-22
99,267355,939354.46,12587,10221,69,2004-04-28
100,84302,785131.08,14552,5712,90,2001-06-17
