id,nome,data_fondazione,quotazioni,sede
0,Harris-Caldwell,1973-06-11,"[{'azionista': 9062, 'quota': 36}, {'azionista': 9494, 'quota': 13}, {'azionista': 10678, 'quota': 49}, {'azionista': 10190, 'quota': 2}]",98
1,Bowers-Boyd,1988-09-25,"[{'azionista': 12651, 'quota': 92}, {'azionista': 10602, 'quota': 8}]",40
2,"Bailey, Campos and Bridges",1990-10-08,"[{'azionista': 8098, 'quota': 14}, {'azionista': 5833, 'quota': 86}]",18
3,"Phillips, Henderson and Andrews",1993-02-14,"[{'azionista': 7416, 'quota': 52}, {'azionista': 8527, 'quota': 20}, {'azionista': 6278, 'quota': 28}]",57
4,Wagner-Heath,1976-09-20,"[{'azionista': 7215, 'quota': 37}, {'azionista': 12469, 'quota': 55}, {'azionista': 6958, 'quota': 8}]",75
5,"Rice, Wright and Sanchez",1993-07-06,"[{'azionista': 10004, 'quota': 11}, {'azionista': 9682, 'quota': 89}]",98
6,"Peterson, Stewart and Carroll",1977-06-17,"[{'azionista': 8083, 'quota': 4}, {'azionista': 9593, 'quota': 1}, {'azionista': 9398, 'quota': 25}, {'azionista': 8566, 'quota': 70}]",49
7,"Wilson, Huff and Franklin",1985-06-25,"[{'azionista': 6628, 'quota': 9}, {'azionista': 8098, 'quota': 28}, {'azionista': 7962, 'quota': 54}, {'azionista': 10678, 'quota': 3}, {'azionista': 11299, 'quota': 6}]",0
8,Bridges-Gordon,1978-04-23,"[{'azionista': 9444, 'quota': 45}, {'azionista': 11841, 'quota': 55}]",89
9,Clark-Cooper,1981-04-23,"[{'azionista': 11688, 'quota': 72}, {'azionista': 9702, 'quota': 28}]",5
10,"Ray, Fry and Rodriguez",1998-09-14,"[{'azionista': 6934, 'quota': 69}, {'azionista': 11482, 'quota': 31}]",57
11,"Oconnor, Carter and Steele",1967-10-24,"[{'azionista': 7636, 'quota': 75}, {'azionista': 13109, 'quota': 25}]",82
12,Williamson-King,1970-05-02,"[{'azionista': 8674, 'quota': 77}, {'azionista': 6536, 'quota': 20}, {'azionista': 12845, 'quota': 3}]",82
13,Stein-Ramirez,1988-02-09,"[{'azionista': 5721, 'quota': 17}, {'azionista': 11874, 'quota': 83}]",13
14,Walters and Sons,1975-02-25,"[{'azionista': 10379, 'quota': 70}, {'azionista': 7441, 'quota': 30}]",77
15,Dalton Inc,1988-09-30,"[{'azionista': 9060, 'quota': 64}, {'azionista': 6431, 'quota': 22}, {'azionista': 6621, 'quota': 12}, {'azionista': 6296, 'quota': 2}]",87
16,"Williams, Green and Powers",1961-12-17,"[{'azionista': 9688, 'quota': 78}, {'azionista': 11081, 'quota': 6}, {'azionista': 9025, 'quota': 16}]",47
17,Duncan PLC,1965-12-29,"[{'azionista': 10419, 'quota': 95}, {'azionista': 8097, 'quota': 5}]",11
18,Sullivan Inc,1989-11-05,"[{'azionista': 9257, 'quota': 72}, {'azionista': 6774, 'quota': 28}]",53
19,Sims-Martin,1964-08-27,"[{'azionista': 10548, 'quota': 88}, {'azionista': 12843, 'quota': 7}, {'azionista': 9165, 'quota': 5}]",70
20,"Hernandez, Turner and Smith",1995-03-08,"[{'azionista': 11310, 'quota': 92}, {'azionista': 11431, 'quota': 8}]",31
21,Fields Group,1983-12-02,"[{'azionista': 6111, 'quota': 43}, {'azionista': 6791, 'quota': 32}, {'azionista': 7469, 'quota': 25}]",9
22,"Martin, Alvarez and Ferrell",1980-12-10,"[{'azionista': 12586, 'quota': 78}, {'azionista': 9648, 'quota': 22}]",70
23,Bryan-Mason,1985-11-01,"[{'azionista': 6915, 'quota': 38}, {'azionista': 6805, 'quota': 34}, {'azionista': 6855, 'quota': 28}]",87
24,"Lucero, Pollard and Moore",1997-11-19,"[{'azionista': 7781, 'quota': 2}, {'azionista': 12891, 'quota': 49}, {'azionista': 10420, 'quota': 49}]",25
25,"Mason, Vargas and Jones",1975-04-11,"[{'azionista': 12061, 'quota': 14}, {'azionista': 6126, 'quota': 86}]",6
26,"York, Gordon and Mcdonald",1983-07-27,"[{'azionista': 11712, 'quota': 57}, {'azionista': 5924, 'quota': 43}]",31
27,Jacobson-Lopez,1990-07-17,"[{'azionista': 8927, 'quota': 3}, {'azionista': 6889, 'quota': 78}, {'azionista': 10149, 'quota': 19}]",22
28,Duran-Ellis,1965-11-12,"[{'azionista': 7612, 'quota': 48}, {'azionista': 12753, 'quota': 47}, {'azionista': 11462, 'quota': 5}]",13
29,Lewis and Sons,1969-07-22,"[{'azionista': 12824, 'quota': 16}, {'azionista': 6085, 'quota': 78}, {'azionista': 8144, 'quota': 6}]",46
30,Shepard-Harmon,1992-04-07,"[{'azionista': 10580, 'quota': 48}, {'azionista': 10221, 'quota': 52}]",17
31,"Conner, Shaw and Robinson",1999-05-25,"[{'azionista': 8977, 'quota': 32}, {'azionista': 6675, 'quota': 11}, {'azionista': 13108, 'quota': 57}]",7
32,Farrell Ltd,1977-10-22,"[{'azionista': 6172, 'quota': 78}, {'azionista': 9944, 'quota': 22}]",69
33,Garcia Group,1987-12-11,"[{'azionista': 6075, 'quota': 79}, {'azionista': 10850, 'quota': 21}]",29
34,Bradley Ltd,1990-05-28,"[{'azionista': 8622, 'quota': 47}, {'azionista': 7493, 'quota': 2}, {'azionista': 6137, 'quota': 51}]",17
35,Booth-Watson,1960-04-11,"[{'azionista': 6741, 'quota': 78}, {'azionista': 11935, 'quota': 22}]",17
36,"Powell, Daniels and Mcconnell",1972-12-15,"[{'azionista': 11662, 'quota': 52}, {'azionista': 10773, 'quota': 48}]",28
37,"Ware, Reed and Floyd",1968-12-05,"[{'azionista': 9583, 'quota': 7}, {'azionista': 12770, 'quota': 31}, {'azionista': 11323, 'quota': 9}, {'azionista': 6820, 'quota': 53}]",70
