azienda,azionista,quota,ubo
0,2497,79,0,
0,3216,1,0,
0,3284,2,0,
0,2962,18,0,
1,4332,77,0,
1,3548,23,0,
2,3798,46,0,
2,2541,29,0,
2,3538,19,0,
2,4156,6,0,
3,2262,58,0,
3,3935,42,0,
4,3854,57,0,
4,3152,43,0,
5,4365,33,0,
5,2413,33,0,
5,3157,34,0,
6,1885,5,0,
6,2026,13,0,
6,2926,40,0,
6,2991,42,0,
7,3939,14,0,
7,3039,81,0,
7,3235,5,0,
8,2971,84,0,
8,3134,16,0,
9,4275,92,0,
9,2105,8,0,
10,2008,67,0,
10,2961,4,0,
10,2525,29,0,
11,2790,57,0,
11,2916,43,0,
12,4270,63,0,
12,3532,25,0,
12,3260,12,0,
13,4329,68,0,
13,2094,20,0,
13,1914,12,0,
14,3209,88,0,
14,1926,12,0,
15,4003,11,0,
15,4135,73,0,
15,2869,16,0,
16,2681,21,0,
16,4168,79,0,
17,3120,100,0,
18,4213,43,0,
18,3307,27,0,
18,1966,20,0,
18,2797,10,0,
19,2890,72,0,
19,3540,28,0,
20,3891,65,0,
20,1959,35,0,
21,3012,42,0,
21,3518,53,0,
21,2488,5,0,
22,2603,23,0,
22,2257,39,0,
22,3488,24,0,
22,2463,14,0,
23,2373,9,0,
23,2285,2,0,
23,2093,38,0,
23,2906,51,0,
24,2805,61,0,
24,2886,39,0,
25,2343,59,0,
25,2824,41,0,
26,3566,35,0,
26,4133,4,0,
26,3192,10,0,
26,2831,35,0,
26,3846,16,0,
27,3441,76,0,
27,4209,24,0,
28,3805,73,0,
28,3534,26,0,
28,3235,1,0,
29,3676,100,0,
30,3495,17,0,
30,3059,17,0,
30,3039,66,0,
31,2284,87,0,
31,2254,13,0,
32,2697,54,0,
32,3764,22,0,
32,2544,6,0,
32,2809,18,0,
33,2426,91,0,
33,1991,9,0,
34,3049,22,0,
34,3308,74,0,
34,3856,4,0,
35,3692,74,0,
35,2283,18,0,
35,2124,8,0,
36,2206,45,0,
36,2008,31,0,
36,2061,24,0,
37,3151,70,0,
37,4324,6,0,
37,2383,24,0,
38,3505,49,0,
38,2512,51,0,
39,3897,41,0,
39,4051,49,0,
39,2658,1,0,
39,3506,9,0,
40,2961,14,0,
40,3391,37,0,
40,2297,49,0,
41,3705,4,0,
41,2044,48,0,
41,3897,48,0,
42,2707,15,0,
42,3005,22,0,
42,3059,30,0,
42,2302,33,0,
43,2975,33,0,
43,3081,67,0,
44,2002,65,0,
44,2593,35,0,
45,2006,66,0,
45,4246,34,0,
46,4235,18,0,
46,2051,54,0,
46,3981,28,0,
47,4302,86,0,
47,2063,14,0,
48,2085,54,0,
48,2150,1,0,
48,4326,15,0,
48,3939,26,0,
48,2630,4,0,
49,2280,94,0,
49,2430,6,0,
50,2352,52,0,
50,3313,48,0,
51,2332,17,0,
51,4356,57,0,
51,2347,26,0,
52,4094,40,0,
52,2355,58,0,
52,3135,2,0,
53,3784,15,0,
53,3731,9,0,
53,3819,26,0,
53,2354,24,0,
53,2313,26,0,
54,3551,15,0,
54,2499,54,0,
54,3790,31,0,
55,2635,29,0,
55,2580,23,0,
55,2157,7,0,
55,3684,31,0,
55,2301,10,0,
56,2536,32,0,
56,2146,68,0,
57,4350,32,0,
57,3867,44,0,
57,3756,24,0,
58,2948,54,0,
58,2253,38,0,
58,2666,8,0,
59,2014,42,0,
59,3529,58,0,
60,2992,53,0,
60,3999,47,0,
61,2380,63,0,
61,3734,29,0,
61,2148,8,0,
62,3459,21,0,
62,3198,36,0,
62,2745,43,0,
63,3084,1,0,
63,2758,92,0,
63,3854,7,0,
64,4244,76,0,
64,2130,24,0,
65,2535,55,0,
65,2900,13,0,
65,2448,32,0,
66,3588,38,0,
66,3503,35,0,
66,3000,18,0,
66,3429,9,0,
67,4085,75,0,
67,3442,17,0,
67,3838,8,0,
68,4066,99,0,
68,2505,1,0,
69,2296,72,0,
69,2815,28,0,
70,3657,76,0,
70,3745,24,0,
71,3251,39,0,
71,3990,61,0,
72,2822,65,0,
72,2090,35,0,
73,3033,12,0,
73,1999,32,0,
73,2996,45,0,
73,2926,11,0,
74,2204,99,0,
74,3498,1,0,
75,2795,13,0,
75,2825,42,0,
75,4172,34,0,
75,3648,11,0,
76,3363,72,0,
76,2524,7,0,
76,2094,21,0,
77,2776,13,0,
77,2990,6,0,
77,3539,58,0,
77,3621,23,0,
78,2946,76,0,
78,2305,24,0,
79,4145,27,0,
79,2187,73,0,
80,3516,100,0,
81,3174,49,0,
81,2408,51,0,
82,2104,60,0,
82,1900,4,0,
82,1997,36,0,
83,2907,99,0,
83,3883,1,0,
84,4205,6,0,
84,2406,57,0,
84,3440,37,0,
85,3881,24,0,
85,3993,17,0,
85,3047,59,0,
86,2938,71,0,
86,2691,4,0,
86,2402,2,0,
86,2903,23,0,
87,3145,17,0,
87,4134,16,0,
87,2590,7,0,
87,2561,10,0,
87,4280,50,0,
88,4043,71,0,
88,3032,4,0,
88,2020,25,0,
89,2164,14,0,
89,2750,66,0,
89,2723,8,0,
89,2938,12,0,
90,2072,67,0,
90,3424,33,0,
91,3447,82,0,
91,1903,18,0,
92,2365,81,0,
92,3979,19,0,
93,1935,63,0,
93,4316,37,0,
94,1888,88,0,
94,3243,12,0,
95,2270,22,0,
95,3531,34,0,
95,1922,44,0,
96,4168,99,0,
96,3315,1,0,
97,4311,99,0,
97,4256,1,0,
98,2709,75,0,
98,2396,25,0,
99,4116,54,0,
99,2435,46,0,
100,3749,36,0,
100,2350,58,0,
100,2117,6,0,
101,2904,30,0,
101,2223,27,0,
101,2500,8,0,
101,2924,13,0,
101,2244,22,0,
102,4190,91,0,
102,3991,9,0,
103,3935,45,0,
103,2484,3,0,
103,3257,52,0,
104,4274,38,0,
104,2436,40,0,
104,4068,22,0,
105,1930,96,0,
105,3299,4,0,
106,3890,75,0,
106,3590,25,0,
107,3424,84,0,
107,4320,16,0,
108,2073,8,0,
108,4307,26,0,
108,4247,66,0,
109,2957,65,0,
109,3015,35,0,
110,4099,89,0,
110,3251,11,0,
111,1968,67,0,
111,2109,33,0,
112,3141,24,0,
112,2988,76,0,
113,2573,55,0,
113,3632,39,0,
113,3976,6,0,
114,2845,63,0,
114,2253,37,0,
115,3864,68,0,
115,4316,32,0,
116,2756,80,0,
116,2919,20,0,
117,4345,29,0,
117,2186,71,0,
118,3259,3,0,
118,3418,64,0,
118,2131,33,0,
119,3560,38,0,
119,2641,39,0,
119,2654,20,0,
119,4142,3,0,
120,2318,67,0,
120,3380,33,0,
121,3390,30,0,
121,3501,7,0,
121,3421,63,0,
122,2723,40,0,
122,2265,60,0,
123,2980,49,0,
123,2466,51,0,
124,2539,93,0,
124,2285,7,0,
125,3867,29,0,
125,3637,47,0,
125,2175,10,0,
125,2927,6,0,
125,3581,3,0,
125,1897,5,0,
126,3458,67,0,
126,3023,16,0,
126,2803,17,0,
127,2921,2,0,
127,2474,7,0,
127,3251,43,0,
127,2409,48,0,
128,2082,79,0,
128,4187,21,0,
129,4085,15,0,
129,1969,29,0,
129,2215,56,0,
130,3165,54,0,
130,4063,46,0,
131,3644,55,0,
131,2970,41,0,
131,2775,4,0,
132,3356,6,0,
132,2589,23,0,
132,4329,8,0,
132,3112,63,0,
133,4109,97,0,
133,2860,3,0,
134,4036,58,0,
134,2434,42,0,
135,3173,33,0,
135,2361,67,0,
136,2472,94,0,
136,2773,6,0,
137,3909,9,0,
137,3718,21,0,
137,4047,70,0,
138,3003,46,0,
138,3554,23,0,
138,3283,25,0,
138,3233,6,0,
139,4190,55,0,
139,2929,45,0,
140,2660,25,0,
140,3983,52,0,
140,2447,23,0,
141,2478,14,0,
141,4072,51,0,
141,2446,15,0,
141,3880,20,0,
142,3197,59,0,
142,2395,41,0,
143,2677,12,0,
143,2181,43,0,
143,3106,45,0,
144,1952,50,0,
144,4029,50,0,
145,2768,71,0,
145,2526,29,0,
146,3167,34,0,
146,2908,59,0,
146,2241,7,0,
147,2554,63,0,
147,2996,30,0,
147,2362,7,0,
148,2943,75,0,
148,3439,22,0,
148,2189,3,0,
149,3148,4,0,
149,4133,53,0,
149,2285,43,0,
150,2310,34,0,
150,2680,66,0,
151,2541,76,0,
151,3008,24,0,
152,4108,55,0,
152,2537,39,0,
152,2129,2,0,
152,3313,4,0,
153,3984,79,0,
153,3935,15,0,
153,3063,6,0,
154,4308,39,0,
154,3323,61,0,
155,3151,48,0,
155,2790,52,0,
156,3622,95,0,
156,4002,5,0,
157,3257,54,0,
157,2809,46,0,
158,2733,90,0,
158,2934,10,0,
159,2490,38,0,
159,2408,43,0,
159,2527,19,0,
160,4250,63,0,
160,2035,37,0,
161,2776,40,0,
161,2669,39,0,
