id,codice_transazione,importo,emittente,beneficiario,banca,data
0,644273,747751.97,14015,12848,103,2011-08-19
1,6195,337006.3,2510,5062,19,2016-10-13
2,820973,337741.72,6686,4045,105,2005-08-03
3,979258,77006.65,16090,4199,40,2011-06-26
4,332647,869002.4,13583,2428,65,2007-03-14
5,623685,256062.59,5524,6349,21,2006-10-03
6,422948,336120.05,8653,2625,45,2011-06-18
7,226013,666474.76,16844,3014,104,2019-08-26
8,927286,971041.65,7,10505,66,2003-01-30
9,627443,366427.29,10271,3770,56,2019-10-02
10,699713,848817.15,7686,13541,118,2013-06-21
11,151106,846230.29,2089,13827,76,2007-06-09
12,28888,11310.75,379,13155,8,2022-05-26
13,481120,971652.54,1039,14586,79,2008-03-30
14,596842,259449.76,14385,15599,27,2020-09-12
15,246921,268167.01,477,10350,99,2005-04-13
16,389260,929434.21,5028,18330,19,2012-08-04
17,545848,271811.34,1742,2622,89,2014-09-17
18,491687,68825.93,14678,15713,60,2007-10-08
19,886714,632962.7,16955,8576,113,2006-10-10
20,89288,934993.01,16596,3186,67,2005-10-27
21,231821,951846.1,14127,13592,25,2017-01-14
22,284152,190046.14,3215,15953,57,2020-06-18
23,359132,261318.95,11778,11247,17,2010-09-20
24,411925,657451.47,11266,12,58,2009-05-11
25,717258,838901.16,9947,8903,110,2020-05-13
26,463453,796005.0,6510,12507,88,2007-09-22
27,532591,651093.51,5190,6190,35,2016-11-06
28,236418,902337.97,12813,16308,31,2015-08-10
29,715173,657438.4,8445,14209,62,2012-12-29
30,545466,643958.05,15408,5541,11,2010-06-18
31,663713,259892.62,7290,13527,116,2016-12-29
32,837704,643940.76,8984,5170,28,2019-06-14
33,197699,888641.64,3167,12765,19,2019-10-30
34,198795,693959.32,16057,7481,32,2004-12-24
35,100478,905823.4,8750,5694,110,2011-04-03
36,127292,312833.68,8164,11645,12,2019-01-16
37,740886,789830.17,7867,17760,105,2005-12-26
38,131968,774259.42,11615,10174,9,2000-01-20
39,992007,790149.18,15150,15528,88,2015-07-30
40,25798,275488.85,14750,9762,50,2003-10-07
41,167774,256246.73,10465,14238,68,2000-10-07
42,649379,581794.7,18286,10853,85,2001-10-03
43,104359,614229.59,10481,15710,11,2013-12-09
44,641115,91061.42,12508,10044,94,2004-12-26
45,785470,683681.88,7637,16848,85,2000-04-16
46,216857,938832.13,2816,12323,63,2005-09-08
47,587630,621275.09,6199,397,16,2019-03-30
48,986878,258957.3,15060,1401,62,2013-08-10
49,2791,416186.88,2712,7170,12,2018-01-28
50,341310,971221.45,17839,1595,12,2014-09-29
51,856577,859116.59,1855,4378,5,2014-10-18
52,583627,850595.81,2843,1220,63,2010-10-27
53,959122,510687.17,7536,16491,80,2010-03-01
54,176555,390071.74,8103,16414,77,2001-11-29
55,958882,200925.01,17646,12972,91,2014-08-13
56,255015,539141.6,9664,2164,103,2015-01-10
57,394310,13166.37,12852,17074,70,2014-10-02
58,622279,476014.22,9306,13701,68,2006-08-30
59,473484,200483.86,10059,14454,45,2008-07-30
60,216362,934038.56,2087,15798,39,2002-06-26
61,244744,636484.84,206,10200,66,2003-09-10
62,712160,856827.38,11210,1559,113,2005-10-01
63,865738,86080.38,5412,14993,87,2021-02-15
64,955188,967279.46,8703,1933,41,2016-08-25
65,162625,164238.61,947,7377,106,2021-12-05
66,878357,365395.24,4112,7152,118,2019-02-27
67,198990,30947.86,8649,11125,94,2007-12-20
68,649168,603129.22,9124,8068,53,2011-06-24
69,468251,338332.09,10395,810,69,2005-08-25
70,389546,670816.67,5788,16316,75,2009-03-09
71,874778,478396.25,15294,18693,78,2013-11-07
72,17292,891319.27,16284,18433,27,2008-10-08
73,762555,837828.0,16390,10038,25,2011-07-12
74,837306,973913.36,13088,5651,46,2004-10-30
75,527700,844016.75,6299,16684,24,2022-05-05
76,613764,7280.66,1781,4191,46,2000-11-07
77,611837,719195.43,16702,6738,91,2007-07-14
78,45863,894662.91,6822,4755,101,2018-09-29
79,791041,800192.93,15274,7080,67,2007-07-24
80,580385,37625.79,11289,466,116,2011-10-04
81,559624,916658.79,2083,12363,55,2003-11-20
82,432875,930027.97,14663,18322,58,2015-05-18
83,834287,902057.37,12767,7087,26,2009-05-31
84,585001,324284.28,6000,6905,32,2011-05-29
85,535721,880903.03,12437,1323,39,2011-10-26
86,986202,458355.34,7266,11296,48,2013-10-20
87,728640,785467.66,18638,14261,22,2017-11-29
88,975930,11420.69,13287,13324,23,2002-10-11
89,406432,638700.8,5213,10248,103,2006-09-02
90,852703,644000.53,3981,10088,51,2016-09-21
91,316882,853631.38,5109,10846,12,2003-03-20
92,19311,960753.98,17140,12881,36,2021-12-28
93,22671,941809.92,18236,11491,35,2021-08-21
94,987785,713069.25,22,16811,24,2002-02-18
95,906021,983249.19,10890,17122,44,2012-10-05
96,27017,819789.18,15989,16510,66,2016-04-03
97,532921,13205.46,9608,1741,92,2019-10-06
98,75912,846423.71,14176,5821,4,2000-01-29
99,604895,957917.11,12169,4310,51,2007-08-24
100,840250,651464.16,18366,4741,45,2008-11-28
101,346484,134510.92,16508,12590,79,2003-02-26
102,116428,579541.05,10645,3173,53,2019-12-05
103,43903,862681.3,7836,8046,105,2007-01-18
104,427908,136041.86,10408,13511,1,2016-02-07
105,157220,575945.14,8652,4016,79,2000-08-11
106,202706,409879.3,2663,11314,80,2018-03-21
107,412363,475587.04,17236,11379,3,2016-01-09
108,786849,491801.93,3470,11496,14,2015-04-21
109,826657,121845.03,5982,10353,101,2016-09-28
110,764359,654274.67,4610,15563,72,2011-04-18
111,306184,510922.9,13523,11212,18,2008-07-24
112,66240,654505.35,9860,15589,112,2015-10-25
113,464265,772794.1,12934,3394,11,2010-06-29
114,368072,399070.29,8609,253,18,2002-05-28
115,443161,760584.41,7205,15939,40,2008-01-02
116,615614,25425.47,9817,15953,111,2017-08-21
117,694000,512664.17,18379,12930,111,2011-05-31
118,688810,412295.35,18599,685,22,2012-12-13
119,249274,143800.96,26,5079,118,2010-04-26
120,693400,694812.29,4437,13127,43,2017-02-24
121,884928,766159.6,14077,287,110,2009-02-14
122,12488,152356.66,9791,9721,12,2013-05-01
123,474718,521444.1,8716,15886,115,2006-05-29
124,125591,178386.85,12092,17313,63,2012-11-11
125,463993,188687.43,967,3352,35,2016-04-11
126,197948,755231.28,6865,3281,59,2013-01-14
127,189932,614281.77,4071,5737,86,2000-04-23
128,69095,537758.86,16244,12269,105,2007-11-05
129,888143,531817.82,7422,8917,76,2011-08-07
130,492081,240750.19,1011,4474,37,2010-05-03
131,427443,60844.2,1901,6272,65,2013-03-11
132,584817,159888.93,11248,14518,12,2016-12-30
133,128348,520277.19,8001,8098,65,2011-08-03
134,723973,226746.61,12378,2467,19,2021-06-28
135,9282,77241.16,228,13713,117,2012-10-08
136,917417,360285.23,5392,801,8,2000-04-19
