id,nome,data_fondazione,quotazioni,sede
0,"King, West and Leach",1998-06-15,"[{'azionista': 16399, 'quota': 11}, {'azionista': 13097, 'quota': 60}, {'azionista': 12005, 'quota': 26}, {'azionista': 12029, 'quota': 3}]",4
1,"Shaw, Knight and Lane",1976-08-15,"[{'azionista': 10720, 'quota': 83}, {'azionista': 16140, 'quota': 17}]",53
2,Wright PLC,1992-04-20,"[{'azionista': 15921, 'quota': 80}, {'azionista': 15328, 'quota': 20}]",100
3,Cook PLC,1990-05-25,"[{'azionista': 13328, 'quota': 44}, {'azionista': 14885, 'quota': 54}, {'azionista': 13399, 'quota': 2}]",0
4,"Perez, Harper and Garcia",1961-05-28,"[{'azionista': 17398, 'quota': 43}, {'azionista': 13585, 'quota': 57}]",103
5,Cook-Montgomery,1996-10-20,"[{'azionista': 11695, 'quota': 71}, {'azionista': 13629, 'quota': 29}]",14
6,Sandoval-Johnson,1978-06-12,"[{'azionista': 14435, 'quota': 67}, {'azionista': 9659, 'quota': 33}]",2
7,Cole Inc,1981-03-11,"[{'azionista': 12114, 'quota': 81}, {'azionista': 16504, 'quota': 19}]",12
8,Sullivan-Miranda,1979-05-18,"[{'azionista': 17082, 'quota': 83}, {'azionista': 8780, 'quota': 17}]",95
9,Lloyd and Sons,1972-06-12,"[{'azionista': 13339, 'quota': 81}, {'azionista': 10815, 'quota': 19}]",80
10,Gomez PLC,1972-05-03,"[{'azionista': 10960, 'quota': 94}, {'azionista': 13110, 'quota': 5}, {'azionista': 8681, 'quota': 1}]",29
11,"Nelson, Noble and White",1994-06-12,"[{'azionista': 10946, 'quota': 57}, {'azionista': 12576, 'quota': 16}, {'azionista': 8536, 'quota': 27}]",64
12,Jones-Anderson,1998-11-29,"[{'azionista': 12135, 'quota': 23}, {'azionista': 9743, 'quota': 50}, {'azionista': 7717, 'quota': 27}]",17
13,Paul-Gibbs,1996-04-22,"[{'azionista': 8769, 'quota': 68}, {'azionista': 9067, 'quota': 32}]",14
14,Morgan LLC,1985-08-23,"[{'azionista': 8790, 'quota': 52}, {'azionista': 12145, 'quota': 48}]",38
15,"Drake, Carey and Martinez",1994-01-16,"[{'azionista': 16047, 'quota': 58}, {'azionista': 12217, 'quota': 42}]",60
16,Espinoza Inc,1975-02-01,"[{'azionista': 11809, 'quota': 100}]",45
17,"Johnson, White and Thompson",1996-09-11,"[{'azionista': 15865, 'quota': 84}, {'azionista': 15637, 'quota': 16}]",65
18,Smith-Williams,1974-08-21,"[{'azionista': 15639, 'quota': 62}, {'azionista': 15311, 'quota': 38}]",85
19,Cooper LLC,1996-03-04,"[{'azionista': 14865, 'quota': 33}, {'azionista': 17443, 'quota': 67}]",56
20,Jackson-Cruz,1982-06-06,"[{'azionista': 14484, 'quota': 8}, {'azionista': 17499, 'quota': 92}]",12
21,"Taylor, Williamson and Bennett",1983-03-26,"[{'azionista': 9910, 'quota': 84}, {'azionista': 16674, 'quota': 5}, {'azionista': 14442, 'quota': 11}]",47
22,"Young, Beck and Rojas",1971-11-17,"[{'azionista': 15077, 'quota': 65}, {'azionista': 8282, 'quota': 35}]",8
23,"Harris, Lambert and Christian",1995-12-30,"[{'azionista': 16526, 'quota': 28}, {'azionista': 10519, 'quota': 24}, {'azionista': 16609, 'quota': 25}, {'azionista': 10976, 'quota': 23}]",16
24,Palmer and Sons,1979-04-23,"[{'azionista': 8802, 'quota': 16}, {'azionista': 13483, 'quota': 82}, {'azionista': 12821, 'quota': 2}]",86
25,"Roberts, Briggs and Martinez",1977-06-16,"[{'azionista': 15443, 'quota': 82}, {'azionista': 14811, 'quota': 18}]",19
26,Nelson-Myers,1976-04-15,"[{'azionista': 14315, 'quota': 21}, {'azionista': 14816, 'quota': 53}, {'azionista': 17018, 'quota': 26}]",10
27,"Robles, Smith and Warren",1976-09-24,"[{'azionista': 17278, 'quota': 33}, {'azionista': 12078, 'quota': 67}]",10
28,"Escobar, Harris and Nelson",1989-03-28,"[{'azionista': 16173, 'quota': 16}, {'azionista': 11961, 'quota': 84}]",67
29,"Robertson, King and Mueller",1981-03-23,"[{'azionista': 10994, 'quota': 79}, {'azionista': 14436, 'quota': 21}]",63
30,Miles-Rodgers,1975-08-30,"[{'azionista': 17383, 'quota': 42}, {'azionista': 13555, 'quota': 16}, {'azionista': 13869, 'quota': 42}]",55
31,James-Gonzales,1988-02-16,"[{'azionista': 14592, 'quota': 60}, {'azionista': 12687, 'quota': 40}]",23
32,"Garcia, Murphy and Olson",1965-08-14,"[{'azionista': 15258, 'quota': 33}, {'azionista': 11591, 'quota': 9}, {'azionista': 8825, 'quota': 51}, {'azionista': 7807, 'quota': 7}]",59
